platform	reads_per_run_M	read_length	run_time_d	yield_gb	rate_gb_per_dat	reagent_cost	cost_per_gb	hg_30x_cost	cost_per_machine	install_base	max_yield_per_day	max_gb_per_day	hg_per_year
ILMN iSeq 100 1fcell	4	150*	0.791666667	1.2	0.791666667	650	521	52100	19900	1400	1.56	2184	5.694
ILMN MiniSeq 1fcell	25	150*	1	7.5	7.5	1750	225	22500	65000	1700	7.5	12750	27.375
ILMN MiSeq 1fcell	25	300*	2.333333333	15	7.5	1750	108	10800	99000	8400	7.5	63000	27.375
ILMN NextSeq 550 1fcell	400	150*	1.25	120	100	5125	41	4100	250000	4000	100	400000	365
ILMN HiSeq 2500 RR 2fcells	600	100*	1.125	300	106.6	13920	46	4600	740000	0	106.6	0	389.09
ILMN HiSeq 2500 V3 2fcells	3000	100*	11	600	55	35300	59	5900	690000	0	55	0	200.75
ILMN HiSeq 2500 V4 2fcells	4000	125*	2.5	1000	166	33800	38	3800	690000	1000	166	166000	605.9
ILMN HiSeq 4000 2fcells	5000	150*	3.5	1500	400	34450	25	2500	900000	400	400	160000	1460
ILMN NextSeq 1000 P2 1fcell	400	PE150*	2	120	60	3800	31.66666667	3166.666667	225000	NA	150	0	547.5
ILMN NextSeq 2000 P3 1fcell	1200	PE150*	2	360	150	6000	16.5	1650	335000	1175	150	176250	547.5
ILMN HiSeq X 2fcells	6000	150*	3	1800	600	28440	8	800	1000000	400	600	240000	2190
ILMN NovaSeq SP 2fcells	1600	250*	1.583333333	800	505.2631579	11700	10.5	1050	985000	0	600	0	2190
ILMN NovaSeq S1 2fcells	3200	150*	1.041666667	1000	600	14000	10.5	1050	985000	0	600	0	2190
ILMN NovaSeq S2 2fcells	6600	150*	1.5	2000	1333	32400	7.7	770	985000	0	0	0	0
ILMN NovaSeq S4 v1.5 2fcells	20000	150*	1.833333333	6000	3600	28800	4.8	480	985000	1480	3600	5328000	13140
ElemBio AVITI 2022 2fcell	1600	PE150*	2	800	400	3360	5-Jul	500-700	289000	1	200	200	730
Singular Genomics G4 F2 4fcell (early 2022)	600-650	PE150*	0.791666667	180-200	252.6315789	NA	16-45	1600-4500	350000	NA	NA	NA	#VALUE!
Singular Genomics G4 F3 4fcell (late 2022)	1200-1320	PE150*	0.791666667	360-400	505.2631579	NA	16-45	1600-4500	350000	2	505.2631579	1011	1844.210526
Singular Genomics Systems PX (2023)	NA	PE150*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PACB RSII	0.88	20K**	4.3	12	2.8	2400	200	24000	695000	10	2.8	28	10.22
